operational_status,records,avg_predicted_demand,avg_inventory,avg_spike_risk,avg_wastage_risk
Stable,15353,1.8582879160121473,95.42682211945548,0.03228601586762887,0.13137995636366484
High Wastage Risk,3383,3.2713378579834718,59.85693171741058,0.09230630601848762,0.8650788130978107
Demand Spike Risk,2747,13.24177592384164,424.4969057153258,0.5201984193699771,0.32860901177984886
Critical Shortage,2354,1.3308887964658045,0.31520815632965166,0.031308003807509026,0.06512224409186274
Monitor Inventory,1764,2.4266370897247604,8.311791383219955,0.05326222337639204,0.226905441824865
High Shortage Risk,607,3.332008537634903,5.14662273476112,0.09344217417743066,0.1588258925825482
